Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testJohn,Chrome 122.0.0.0,,,05-03-2024 12:00:49,05-03-2024 12:01:21,32.124s,PASSED
,,,,,,,
Test Cases/john1,Chrome 122.0.0.0,,,05-03-2024 12:00:49,05-03-2024 12:00:53,4.154s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:00:49,05-03-2024 12:00:50,1.222s,PASSED
"navigateToUrl(""http://localhost/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 12:00:50,05-03-2024 12:00:50,0.116s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""Johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:00:50,05-03-2024 12:00:51,0.766s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 12:00:51,05-03-2024 12:00:52,0.545s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 12:00:52,05-03-2024 12:00:52,0.555s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 12:00:52,05-03-2024 12:00:53,0.323s,PASSED
"takeScreenshot(""D:\plashon\katalon\searchNpru\JohnPic\JohnPic1.png"")",Chrome 122.0.0.0,,,05-03-2024 12:00:53,05-03-2024 12:00:53,0.328s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:00:53,05-03-2024 12:00:53,0.121s,PASSED
,,,,,,,
Test Cases/john2,Chrome 122.0.0.0,,,05-03-2024 12:00:53,05-03-2024 12:00:57,3.476s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:00:53,05-03-2024 12:00:54,0.533s,PASSED
"navigateToUrl(""http://localhost/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 12:00:54,05-03-2024 12:00:54,0.147s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""Johnj"")",Chrome 122.0.0.0,,,05-03-2024 12:00:54,05-03-2024 12:00:55,0.815s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncanoncano"")",Chrome 122.0.0.0,,,05-03-2024 12:00:55,05-03-2024 12:00:55,0.542s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""149"")",Chrome 122.0.0.0,,,05-03-2024 12:00:55,05-03-2024 12:00:56,0.537s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 12:00:56,05-03-2024 12:00:56,0.298s,PASSED
